benchname,dataname,filename,ub
SD1,30x10_001,3731_30j_10m,257
SD1,30x10_002,3733_30j_10m,296
SD1,30x10_003,3734_30j_10m,271
SD1,30x10_004,3735_30j_10m,281
SD1,30x10_005,3737_30j_10m,293
SD1,30x10_006,3738_30j_10m,277
SD1,30x10_007,3740_30j_10m,267
SD1,30x10_008,3741_30j_10m,265
SD1,30x10_009,3742_30j_10m,271
SD1,30x10_010,3744_30j_10m,264
SD1,30x10_011,3745_30j_10m,274
SD1,30x10_012,3747_30j_10m,292
SD1,30x10_013,3748_30j_10m,261
SD1,30x10_014,3749_30j_10m,294
SD1,30x10_015,3751_30j_10m,281
SD1,30x10_016,3752_30j_10m,281
SD1,30x10_017,3754_30j_10m,285
SD1,30x10_018,3755_30j_10m,262
SD1,30x10_019,3756_30j_10m,283
SD1,30x10_020,3758_30j_10m,282
SD1,30x10_021,3759_30j_10m,274
SD1,30x10_022,3801_30j_10m,254
SD1,30x10_023,3802_30j_10m,265
SD1,30x10_024,3803_30j_10m,270
SD1,30x10_025,3805_30j_10m,264
SD1,30x10_026,3806_30j_10m,267
SD1,30x10_027,3808_30j_10m,254
SD1,30x10_028,3809_30j_10m,259
SD1,30x10_029,3810_30j_10m,262
SD1,30x10_030,3812_30j_10m,263
SD1,30x10_031,3813_30j_10m,282
SD1,30x10_032,3814_30j_10m,287
SD1,30x10_033,3816_30j_10m,296
SD1,30x10_034,3817_30j_10m,282
SD1,30x10_035,3819_30j_10m,290
SD1,30x10_036,3820_30j_10m,290
SD1,30x10_037,3822_30j_10m,303
SD1,30x10_038,3823_30j_10m,297
SD1,30x10_039,3824_30j_10m,281
SD1,30x10_040,3826_30j_10m,281
SD1,30x10_041,3827_30j_10m,272
SD1,30x10_042,3829_30j_10m,258
SD1,30x10_043,3830_30j_10m,273
SD1,30x10_044,3831_30j_10m,258
SD1,30x10_045,3833_30j_10m,274
SD1,30x10_046,3834_30j_10m,266
SD1,30x10_047,3836_30j_10m,284
SD1,30x10_048,3837_30j_10m,271
SD1,30x10_049,3838_30j_10m,271
SD1,30x10_050,3840_30j_10m,274
SD1,30x10_051,3841_30j_10m,267
SD1,30x10_052,3843_30j_10m,265
SD1,30x10_053,3844_30j_10m,282
SD1,30x10_054,3845_30j_10m,253
SD1,30x10_055,3847_30j_10m,270
SD1,30x10_056,3848_30j_10m,268
SD1,30x10_057,3850_30j_10m,276
SD1,30x10_058,3851_30j_10m,253
SD1,30x10_059,3852_30j_10m,260
SD1,30x10_060,3854_30j_10m,260
SD1,30x10_061,3855_30j_10m,271
SD1,30x10_062,3856_30j_10m,264
SD1,30x10_063,3858_30j_10m,274
SD1,30x10_064,3859_30j_10m,270
SD1,30x10_065,3901_30j_10m,269
SD1,30x10_066,3902_30j_10m,243
SD1,30x10_067,3903_30j_10m,270
SD1,30x10_068,3905_30j_10m,273
SD1,30x10_069,3906_30j_10m,272
SD1,30x10_070,3908_30j_10m,273
SD1,30x10_071,3909_30j_10m,287
SD1,30x10_072,3911_30j_10m,275
SD1,30x10_073,3912_30j_10m,290
SD1,30x10_074,3913_30j_10m,283
SD1,30x10_075,3915_30j_10m,280
SD1,30x10_076,3916_30j_10m,281
SD1,30x10_077,3918_30j_10m,269
SD1,30x10_078,3919_30j_10m,290
SD1,30x10_079,3920_30j_10m,271
SD1,30x10_080,3922_30j_10m,285
SD1,30x10_081,3923_30j_10m,270
SD1,30x10_082,3925_30j_10m,285
SD1,30x10_083,3926_30j_10m,292
SD1,30x10_084,3927_30j_10m,298
SD1,30x10_085,3929_30j_10m,278
SD1,30x10_086,3930_30j_10m,282
SD1,30x10_087,3932_30j_10m,292
SD1,30x10_088,3933_30j_10m,290
SD1,30x10_089,3934_30j_10m,275
SD1,30x10_090,3936_30j_10m,281
SD1,30x10_091,3937_30j_10m,267
SD1,30x10_092,3939_30j_10m,279
SD1,30x10_093,3940_30j_10m,249
SD1,30x10_094,3941_30j_10m,260
SD1,30x10_095,3943_30j_10m,266
SD1,30x10_096,3944_30j_10m,284
SD1,30x10_097,3946_30j_10m,282
SD1,30x10_098,3947_30j_10m,279
SD1,30x10_099,3948_30j_10m,270
SD1,30x10_100,3950_30j_10m,285
SD1,40x10_001,5056_40j_10m,369
SD1,40x10_002,5058_40j_10m,370
SD1,40x10_003,5059_40j_10m,353
SD1,40x10_004,5101_40j_10m,367
SD1,40x10_005,5102_40j_10m,366
SD1,40x10_006,5103_40j_10m,362
SD1,40x10_007,5105_40j_10m,374
SD1,40x10_008,5106_40j_10m,393
SD1,40x10_009,5107_40j_10m,363
SD1,40x10_010,5109_40j_10m,352
SD1,40x10_011,5110_40j_10m,362
SD1,40x10_012,5111_40j_10m,371
SD1,40x10_013,5113_40j_10m,370
SD1,40x10_014,5114_40j_10m,356
SD1,40x10_015,5115_40j_10m,368
SD1,40x10_016,5117_40j_10m,369
SD1,40x10_017,5118_40j_10m,352
SD1,40x10_018,5120_40j_10m,359
SD1,40x10_019,5121_40j_10m,362
SD1,40x10_020,5122_40j_10m,352
SD1,40x10_021,5124_40j_10m,336
SD1,40x10_022,5125_40j_10m,350
SD1,40x10_023,5126_40j_10m,360
SD1,40x10_024,5128_40j_10m,362
SD1,40x10_025,5129_40j_10m,375
SD1,40x10_026,5130_40j_10m,358
SD1,40x10_027,5132_40j_10m,359
SD1,40x10_028,5133_40j_10m,348
SD1,40x10_029,5135_40j_10m,356
SD1,40x10_030,5136_40j_10m,391
SD1,40x10_031,5137_40j_10m,360
SD1,40x10_032,5139_40j_10m,372
SD1,40x10_033,5140_40j_10m,362
SD1,40x10_034,5141_40j_10m,376
SD1,40x10_035,5143_40j_10m,368
SD1,40x10_036,5144_40j_10m,373
SD1,40x10_037,5145_40j_10m,388
SD1,40x10_038,5147_40j_10m,379
SD1,40x10_039,5148_40j_10m,368
SD1,40x10_040,5150_40j_10m,369
SD1,40x10_041,5151_40j_10m,357
SD1,40x10_042,5152_40j_10m,380
SD1,40x10_043,5154_40j_10m,348
SD1,40x10_044,5155_40j_10m,390
SD1,40x10_045,5156_40j_10m,359
SD1,40x10_046,5158_40j_10m,364
SD1,40x10_047,5159_40j_10m,363
SD1,40x10_048,5200_40j_10m,351
SD1,40x10_049,5202_40j_10m,361
SD1,40x10_050,5203_40j_10m,350
SD1,40x10_051,5204_40j_10m,374
SD1,40x10_052,5206_40j_10m,398
SD1,40x10_053,5207_40j_10m,385
SD1,40x10_054,5208_40j_10m,366
SD1,40x10_055,5210_40j_10m,386
SD1,40x10_056,5211_40j_10m,388
SD1,40x10_057,5213_40j_10m,395
SD1,40x10_058,5214_40j_10m,377
SD1,40x10_059,5215_40j_10m,375
SD1,40x10_060,5217_40j_10m,378
SD1,40x10_061,5218_40j_10m,375
SD1,40x10_062,5219_40j_10m,372
SD1,40x10_063,5221_40j_10m,385
SD1,40x10_064,5222_40j_10m,362
SD1,40x10_065,5223_40j_10m,378
SD1,40x10_066,5225_40j_10m,372
SD1,40x10_067,5226_40j_10m,381
SD1,40x10_068,5227_40j_10m,377
SD1,40x10_069,5229_40j_10m,374
SD1,40x10_070,5230_40j_10m,371
SD1,40x10_071,5232_40j_10m,368
SD1,40x10_072,5233_40j_10m,368
SD1,40x10_073,5234_40j_10m,354
SD1,40x10_074,5236_40j_10m,363
SD1,40x10_075,5237_40j_10m,370
SD1,40x10_076,5238_40j_10m,367
SD1,40x10_077,5240_40j_10m,362
SD1,40x10_078,5241_40j_10m,355
SD1,40x10_079,5242_40j_10m,358
SD1,40x10_080,5244_40j_10m,353
SD1,40x10_081,5245_40j_10m,374
SD1,40x10_082,5246_40j_10m,349
SD1,40x10_083,5248_40j_10m,339
SD1,40x10_084,5249_40j_10m,354
SD1,40x10_085,5250_40j_10m,369
SD1,40x10_086,5252_40j_10m,354
SD1,40x10_087,5253_40j_10m,349
SD1,40x10_088,5254_40j_10m,362
SD1,40x10_089,5256_40j_10m,367
SD1,40x10_090,5257_40j_10m,372
SD1,40x10_091,5258_40j_10m,365
SD1,40x10_092,5300_40j_10m,342
SD1,40x10_093,5301_40j_10m,375
SD1,40x10_094,5303_40j_10m,374
SD1,40x10_095,5304_40j_10m,359
SD1,40x10_096,5305_40j_10m,359
SD1,40x10_097,5307_40j_10m,361
SD1,40x10_098,5308_40j_10m,343
SD1,40x10_099,5309_40j_10m,350
SD1,40x10_100,5311_40j_10m,369
